公司名称,公司编号,公司规模,公司类型,工作城市,工作路段,学历需求,招募类型,工作/福利,工作类型,福利
株洲市日胜电气工程有限公司,CZ422095910,100-499人,民营,南昌,未添加路段,本科,全职,"Oracle,SQLServer,数据架构,数据处理,数据库开发,PLSQL,五险一金,绩效奖金,交通补助,餐补,通讯补助,带薪年假,弹性工作,节日福利","软件/互联网开发/系统集成,数据库开发工程师","五险一金,绩效奖金,交通补助,餐补,通讯补助"
株洲市日胜电气工程有限公司,CZ422095910,100-499人,民营,长沙,未添加路段,大专,全职,"五险一金,绩效奖金,餐补,交通补助,通讯补助,带薪年假,弹性工作,高温补贴","软件/互联网开发/系统集成,数据库开发工程师","五险一金,绩效奖金,餐补,交通补助,通讯补助"
河南宇飞科技有限公司,CZ525181880,20-99人,民营,郑州,国基路,大专,全职,"包住,周末双休","软件/互联网开发/系统集成,软件工程师","包住,周末双休"
成都升通达软件有限公司,CZ679313920,20-99人,民营,成都,保和,大专,全职,"C#/.NET,ERP,ASP,数据库,PHP,餐补,加班补助,全勤奖,绩效奖金,年底双薪,交通补助","软件/互联网开发/系统集成,软件工程师","餐补,加班补助,全勤奖,绩效奖金,年底双薪"
艾斯普 （Aspira）,CZ577437430,100-499人,外商独资,西安,鱼化寨,本科,全职,"IOS,年底双薪,五险一金,周末双休,带薪年假,弹性工作,补充医疗保险,定期体检","软件/互联网开发/系统集成,高级软件工程师","年底双薪,五险一金,周末双休,带薪年假,弹性工作"
艾斯普 （Aspira）,CZ577437430,100-499人,外商独资,西安,鱼化寨,本科,全职,"年底双薪,五险一金,周末双休,带薪年假,弹性工作,补充医疗保险,定期体检","软件/互联网开发/系统集成,高级软件工程师","年底双薪,五险一金,周末双休,带薪年假,弹性工作"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,南京-雨花台区,未添加路段,大专,全职,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,重庆-江北区,未添加路段,大专,全职,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,贵阳-云岩区,未添加路段,大专,全职,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,贵阳-南明区,未添加路段,大专,全职,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,长沙-芙蓉区,未添加路段,大专,全职,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,武汉-武昌区,未添加路段,大专,全职,"Java,14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
上海史肯图信息技术有限公司,CZ329362310,100-499人,民营,上海-宝山区,吴淞,本科,全职,"五险一金,绩效奖金,加班补助,包住,餐补,带薪年假","软件/互联网开发/系统集成,软件研发工程师","五险一金,绩效奖金,加班补助,包住,餐补"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,南京-雨花台区,未添加路段,大专,全职,"Java,14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
湖南高途教育科技有限公司,CZ649416780,20-99人,民营,南京,安德门,大专,全职,"数据挖掘,Python,实习,计算机,互联网,周末双休,五险一金,绩效奖金,通讯补助,带薪年假,弹性工作,定期体检,员工旅游","软件/互联网开发/系统集成,软件研发工程师","周末双休,五险一金,绩效奖金,通讯补助,带薪年假"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,重庆-南岸区,未添加路段,大专,全职,"14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
沈阳东软睿道教育服务有限公司,CZ523272320,1000-9999人,民营,沈阳,白塔,大专,全职,"周末双休,五险一金,创业公司,住房补贴,年底双薪,交通补助,绩效奖金,股票期权","软件/互联网开发/系统集成,其他","周末双休,五险一金,创业公司,住房补贴,年底双薪"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,杭州-余杭区,未添加路段,大专,全职,"Java,14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
北京百知教育科技有限公司,CZ689935920,500-999人,股份制企业,长沙-芙蓉区,未添加路段,大专,全职,"Java,14薪,住房补贴,每年多次调薪,周末双休,五险一金,年底双薪,包住,房补","软件/互联网开发/系统集成,软件工程师","14薪,住房补贴,每年多次调薪,周末双休,五险一金"
